
X	Eventos
870	579
871	613
872	625
873	674
874	656
875	713
876	741
877	724
878	801
879	786
880	821
881	843
882	900
883	854
884	898
885	931
886	957
887	968
888	1023
889	1074
890	1090
891	1050
892	1091
893	1161
894	1136
895	1116
896	1141
897	1225
898	1356
899	1235
900	1254
901	1302
902 1286
903	1330
904	1314
905	1419
906	1397
907	1389
908	1372
909	1358
910	1389
911	1407
912	1375
913	1321
914	1363
915	1372
916	1341
917	1330
918	1305
919	1283
920	1278
921	1245
922	1222
923	1176
924	1131
925	1061
926	1026
927	1088
928	1001
929	963
930	961
931	860
932	842
933	839
934	843
935	752
936	711
937	685
938	635
939	636
940	544
941	595
942	529
943	481
944	452
945	432
